,Team_1,Team_2,Winner,Margin,Ground,Match Date
302,Pakistan,New Zealand,Pakistan,3 wickets,Rawalpindi,"Apr 24, 2002"
303,Pakistan,New Zealand,Pakistan,66 runs,Lahore,"Apr 27, 2002"
304,West Indies,India,India,7 wickets,Bridgetown,"May 29, 2002"
305,West Indies,India,West Indies,7 wickets,Port of Spain,"Jun 1, 2002"
306,West Indies,India,India,56 runs,Port of Spain,"Jun 2, 2002"
307,West Indies,New Zealand,no result,-,Kingston,"Jun 5, 2002"
308,West Indies,New Zealand,West Indies,6 wickets,Gros Islet,"Jun 8, 2002"
309,West Indies,New Zealand,West Indies,7 wickets,Gros Islet,"Jun 9, 2002"
310,Australia,Pakistan,Australia,7 wickets,Melbourne (Docklands),"Jun 12, 2002"
311,West Indies,New Zealand,New Zealand,9 runs,Port of Spain,"Jun 12, 2002"
312,Australia,Pakistan,Pakistan,2 wickets,Melbourne (Docklands),"Jun 15, 2002"
313,West Indies,New Zealand,West Indies,4 wickets,Kingstown,"Jun 16, 2002"
314,Australia,Pakistan,Pakistan,91 runs,Brisbane,"Jun 19, 2002"
315,England,Sri Lanka,England,44 runs,Nottingham,"Jun 27, 2002"
316,England,India,India,6 wickets,Lord's,"Jun 29, 2002"
317,India,Sri Lanka,India,4 wickets,The Oval,"Jun 30, 2002"
318,England,Sri Lanka,England,3 wickets,Leeds,"Jul 2, 2002"
319,England,India,no result,-,Chester-le-Street,"Jul 4, 2002"
320,India,Sri Lanka,India,4 wickets,Birmingham,"Jul 6, 2002"
321,England,Sri Lanka,Sri Lanka,23 runs,Manchester,"Jul 7, 2002"
322,England,India,England,64 runs,The Oval,"Jul 9, 2002"
323,India,Sri Lanka,India,63 runs,Bristol,"Jul 11, 2002"
324,England,India,India,2 wickets,Lord's,"Jul 13, 2002"
325,Sri Lanka,Bangladesh,Sri Lanka,5 wickets,Colombo (SSC),"Aug 4, 2002"
326,Sri Lanka,Bangladesh,Sri Lanka,8 wickets,Colombo (SSC),"Aug 5, 2002"
327,Sri Lanka,Bangladesh,Sri Lanka,58 runs,Colombo (RPS),"Aug 7, 2002"
328,Pakistan,South Africa,South Africa,54 runs,Tangier,"Aug 12, 2002"
329,Pakistan,Sri Lanka,Pakistan,28 runs,Tangier,"Aug 14, 2002"
330,South Africa,Sri Lanka,Sri Lanka,93 runs,Tangier,"Aug 15, 2002"
331,Pakistan,Sri Lanka,Sri Lanka,39 runs,Tangier,"Aug 17, 2002"
332,Pakistan,South Africa,South Africa,8 runs,Tangier,"Aug 18, 2002"
333,South Africa,Sri Lanka,Sri Lanka,6 wickets,Tangier,"Aug 19, 2002"
334,South Africa,Sri Lanka,Sri Lanka,27 runs,Tangier,"Aug 21, 2002"
335,Kenya,Pakistan,Pakistan,4 wickets,Nairobi (Gym),"Aug 29, 2002"
